,logFC,logCPM,PValue,FDR
2870,-0.236184727,7.847271213,0.005747919,0.377490638
47366,-0.238503705,7.979493122,0.005775813,0.377490638
50757,0.236531965,8.721903828,0.006064294,0.387127592
10369,-0.196375203,8.538755206,0.006707144,0.412263996
18919,-0.265274582,7.4066364,0.006758426,0.412263996
43588,-0.240440812,7.139929904,0.007241712,0.431523392
18761,0.42736937,7.994858908,0.007558867,0.431523392
47556,0.217939373,8.770078886,0.007599134,0.431523392
33230,-0.257058983,7.366864398,0.007900109,0.431523392
32454,0.269938112,7.196528803,0.008141797,0.431523392
33703,0.343663189,10.90167677,0.008156961,0.431523392
32958,-0.252737386,7.149835676,0.008174578,0.431523392
17553,0.236702831,9.216519803,0.00900586,0.456852435
930,0.240502214,7.174055899,0.009143121,0.456852435
26372,0.238584056,7.948450155,0.009153692,0.456852435
9869,0.212086183,8.771702919,0.009461135,0.463764557
8160,0.220635049,7.733389528,0.009919834,0.474651981
25445,0.287645815,9.231710482,0.01012427,0.474651981
952,0.218972959,7.61946532,0.010262564,0.474651981
18055,0.375090475,7.211195191,0.010374907,0.474651981
19993,-0.242260333,7.337781925,0.010659992,0.475756408
38467,-0.297089657,8.083437732,0.010816028,0.475756408
47154,-0.235447605,8.055866072,0.011016061,0.475756408
37700,-0.219437061,7.682895868,0.011122087,0.475756408
25440,0.237248047,7.863712501,0.011265634,0.475756408
44956,-0.205609106,7.661713057,0.011636565,0.476644061
33010,0.322285129,7.352554247,0.011896622,0.476644061
23038,0.196067317,8.968307197,0.012056126,0.476644061
54394,-0.226046218,8.936310573,0.012090517,0.476644061
21246,-0.212609669,8.201781623,0.012154858,0.476644061
26567,-0.245162315,7.218969399,0.012387153,0.478911765
9358,-0.221525317,8.389000322,0.012849401,0.485801055
36885,-0.273474112,7.880858438,0.012919299,0.485801055
30797,-0.269026806,7.244132294,0.013225599,0.490598215
51827,-0.202321885,8.364977839,0.014010243,0.51277489
49771,-0.306587716,7.126599857,0.014293533,0.513411385
42072,-0.269477499,7.741075953,0.014581462,0.513411385
12428,0.216190618,7.703634853,0.014672865,0.513411385
11970,0.265274602,7.155495711,0.014775774,0.513411385
11267,-0.197999793,7.958643115,0.015449409,0.530107831
53715,-0.234549664,7.811544989,0.016406287,0.547035354
13735,0.194302005,7.788189056,0.016665643,0.547035354
33495,0.203679236,7.639314667,0.016719901,0.547035354
44664,0.225996998,7.362548673,0.01673988,0.547035354
8187,0.330616631,7.295518887,0.017296281,0.551923333
4139,0.17550587,8.329905692,0.017488261,0.551923333
7148,0.311976598,10.13842009,0.017492652,0.551923333
9746,0.215323702,11.38659863,0.017712039,0.552494858
24909,0.277899219,10.05554711,0.018001365,0.555210633
52627,-0.226294528,7.383967498,0.018425605,0.561796611
30471,-0.180960209,8.849759199,0.018991335,0.561796611
23577,-0.278289795,7.547349041,0.019025536,0.561796611
29600,-0.253800397,9.522217049,0.019169708,0.561796611
14543,0.251432226,11.32186306,0.019412851,0.561796611
37375,0.191153139,7.400087191,0.01944287,0.561796611
56345,-0.210165709,8.316499194,0.020421589,0.579317705
